Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Cidade / UF;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada;Observação
638;12/02/2005;10;11;36;41;42;50;0;;R$0,00;65;R$22.677,35;4518;R$325,03;R$15.643.218,50;R$0,00;R$0,00;R$0,00;ACUMULOU! Estimativa de prêmio (SENA) próximo concurso: R$18.000.000,00 (DEZOITO MILHÕES DE REAIS).
639;16/02/2005;13;35;39;45;51;60;0;;R$0,00;72;R$17.653,96;5473;R$231,37;R$25.066.531,77;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$28.000.000,00 (VINTE E OITO MILHÕES DE REAIS).
640;19/02/2005;12;19;42;46;59;60;0;;R$0,00;129;R$14.012,81;8094;R$222,49;R$28.229.924,76;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$31.000.000,00 (TRINTA E UM MILHÕES DE REAIS).
641;23/02/2005;1;9;13;17;33;34;1;MG;R$31.923.289,19;366;R$5.766,38;20840;R$100,89;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso: R$1.000.000,00.
642;26/02/2005;17;36;40;44;51;56;0;;R$0,00;28;R$22.758,80;1988;R$319,34;R$1.115.180,94;R$0,00;R$0,00;R$0,00;ACUMULOU!! Estimativa de prêmio (SENA) PRÓXIMO CONCURSO: R$2.000.000,00. Dois milhões de reais.
643;02/03/2005;14;24;37;40;42;45;0;;R$0,00;41;R$15.663,14;2694;R$237,48;R$2.239.011,24;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$3.500.000,00.
644;05/03/2005;14;27;29;31;34;57;0;;R$0,00;81;R$10.667,36;4433;R$194,17;R$11.328.156,70;R$0,00;R$0,00;R$0,00;ACUMULOU!! Estimativa de prêmio (SENA) próximo concurso: R$13.000.000,00. Treze Milhões de Reais.
645;09/03/2005;3;24;48;52;53;54;0;;R$0,00;39;R$27.310,11;4345;R$244,20;R$13.192.071,41;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$15.000.000,00 (QUINZE MILHÕES DE REAIS).
646;12/03/2005;10;13;32;47;49;60;0;;R$0,00;79;R$16.079,41;6173;R$205,00;R$15.415.049,93;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$17.000.000,00 (DEZESSETE MILHÕES DE REAIS).
647;16/03/2005;11;12;14;19;54;56;1;SP;R$17.603.353,15;50;R$25.009,18;5432;R$229,34;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso: R$1.000.000,00 (HUM MILHÃO DE REAIS).
648;19/03/2005;5;23;29;42;45;48;3;"MG; RJ; SC";R$361.199,61;139;R$4.454,67;4869;R$126,69;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (Sena) para o próximo concurso: R$ 1.000.000,00.
649;23/03/2005;9;24;33;41;48;54;0;;R$0,00;31;R$15.748,23;2156;R$225,57;R$6.720.868,06;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$8.000.000,00 (OITO MILHÕES DE REAIS).
650;26/03/2005;10;24;25;29;53;59;0;;R$0,00;29;R$24.322,62;2765;R$254,15;R$7.955.241,21;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$9.000.000,00 (NOVE MILHÕES DE REAIS).
651;30/03/2005;26;28;39;45;48;60;0;;R$0,00;36;R$24.882,92;4356;R$204,86;R$9.522.864,81;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$11.000.000,00 (ONZE MILHÕES DE REAIS).
652;02/04/2005;10;18;20;24;56;57;0;;R$0,00;41;R$27.383,54;3874;R$288,71;R$11.487.633,94;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso: R$13.000.000,00 (TREZE MILHÕES DE REAIS).
653;06/04/2005;5;9;19;24;31;34;0;;R$0,00;74;R$14.994,32;6274;R$176,18;R$13.429.397,87;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso: R$16.000.000,00 (DEZESSEIS MILHÕES DE REAIS).
654;09/04/2005;6;10;11;40;41;56;1;MG;R$15.767.596,35;66;R$20.244,14;4745;R$280,52;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 13/04/2005: R$8.000.000,00 (OITO MILHÕES DE REAIS).
655;13/04/2005;1;26;37;39;43;48;0;;R$0,00;23;R$33.457,53;2722;R$281,64;R$7.808.614,22;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 16/04/2005: R$9.000.000,00 (NOVE MILHÕES DE REAIS).
656;16/04/2005;35;36;37;46;51;59;0;;R$0,00;24;R$42.026,73;2623;R$383,08;R$9.573.736,75;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 20/04/2005: R$11.000.000,00 (ONZE MILHÕES DE REAIS).
657;20/04/2005;16;20;33;58;59;60;1;PR;R$11.354.235,39;56;R$18.168,36;3995;R$253,72;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 23/04/2005: R$1.000.000,00.
658;23/04/2005;3;6;11;20;36;41;0;;R$0,00;31;R$18.418,26;2883;R$197,30;R$999.190,32;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 27/04/2005: R$2.000.000,00.
659;27/04/2005;14;29;34;40;51;52;0;;R$0,00;22;R$27.222,16;1390;R$429,22;R$7.004.050,46;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 30/04/2005: R$9.000.000,00.
660;30/04/2005;5;11;38;46;53;54;0;;R$0,00;58;R$16.751,00;4204;R$230,23;R$8.704.277,05;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 04/05/2005: R$10.000.000,00 (Dez milhões de reais).
661;04/05/2005;4;27;36;40;42;55;0;;R$0,00;64;R$15.130,77;4211;R$229,09;R$10.398.923,36;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 07/05/2005: R$12.000.000,00.
662;07/05/2005;4;18;23;25;56;60;0;;R$0,00;79;R$14.974,99;5525;R$213,31;R$12.469.215,44;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 11/05/2005: R$14.000.000,00.
663;11/05/2005;1;27;30;49;51;55;0;;R$0,00;64;R$17.649,82;4020;R$279,93;R$14.445.995,20;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 14/05/2005: R$17.000.000,00.
664;14/05/2005;1;12;36;38;55;59;0;;R$0,00;74;R$18.450,77;4971;R$273,62;R$23.857.740,39;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 18/05/2005: R$26.000.000,00.
665;18/05/2005;7;8;18;25;47;48;0;;R$0,00;185;R$8.538,56;10055;R$156,51;R$26.622.098,55;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 21/05/2005: R$30.000.000,00 (TRINTA MILHÕES DE REAIS).
666;21/05/2005;7;16;26;29;45;55;0;;R$0,00;77;R$26.923,37;8122;R$254,29;R$30.250.022,18;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 25/05/2005: R$34.000.000,00.
667;25/05/2005;1;4;5;16;23;49;1;SP;R$34.263.173,55;203;R$11.296,70;15283;R$149,48;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 28/05/2005: R$1.000.000,00.
668;28/05/2005;1;2;14;33;49;56;0;;R$0,00;53;R$11.007,74;2814;R$206,54;R$1.020.967,19;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 01/06/2005: R$2.000.000,00.
669;01/06/2005;7;24;27;40;41;49;1;SP;R$2.170.216,15;32;R$20.522,30;2427;R$269,57;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 04/06/2005: R$10.000.000,00.
670;04/06/2005;22;37;42;48;58;59;0;;R$0,00;24;R$43.085,53;2895;R$355,84;R$10.792.198,93;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 08/06/2005: R$12.000.000,00.
671;08/06/2005;9;16;27;38;39;51;0;;R$0,00;67;R$16.609,70;4259;R$260,30;R$12.739.685,49;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 11/06/2005: R$15.000.000,00.
672;11/06/2005;24;28;34;38;43;53;0;;R$0,00;54;R$24.277,19;4411;R$296,08;R$15.033.880,01;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 15/06/2005: R$17.000.000,00. Sorteios dias 13 e 14/06 serão em Martinópolis/SP.
673;15/06/2005;6;11;20;34;37;40;0;;R$0,00;72;R$17.523,73;4792;R$262,30;R$17.241.869,86;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 18/06/2005: R$20.000.000,00.
674;18/06/2005;18;22;29;32;38;42;0;;R$0,00;96;R$16.070,11;5586;R$275,14;R$27.769.536,63;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 22/06/2005: R$30.000.000,00.
675;22/06/2005;24;25;30;42;43;50;0;;R$0,00;67;R$26.180,70;5204;R$335,79;R$30.839.224,48;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 25/06/2005: R$35.000.000,00.
676;25/06/2005;9;15;32;41;42;49;0;;R$0,00;94;R$22.081,78;7583;R$272,69;R$34.471.676,39;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 29/06/2005: R$38.000.000,00.
677;29/06/2005;8;10;25;32;48;55;0;;R$0,00;284;R$8.422,82;12803;R$186,14;R$38.657.818,81;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 02/07/2005: R$43.000.000,00 (QUARENTA E TRÊS MILHÕES DE REAIS).
678;02/07/2005;14;31;40;42;44;46;0;;R$0,00;115;R$28.311,43;9797;R$331,07;R$44.355.495,36;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 06/07/2005: R$50.000.000,00 (CINQÜENTA MILHÕES DE REAIS).
679;06/07/2005;3;21;25;37;54;58;1;RJ;R$51.890.452,61;448;R$9.610,91;22087;R$194,20;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 09/07/2005: R$20.000.000,00.
680;09/07/2005;2;3;5;22;26;44;0;;R$0,00;188;R$7.276,69;11222;R$121,45;R$19.623.257,97;R$0,00;R$0,00;R$0,00;ACUMULOU. Estimativa de prêmio (sena) para o próximo concurso a ser realizado em 13/07/2005: R$22.000.000,00.
681;13/07/2005;21;25;38;53;58;59;0;;R$0,00;62;R$23.695,09;5210;R$280,91;R$22.194.175,20;R$0,00;R$0,00;R$0,00;ACUMULOU. Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 16/07/2005: R$25.000.000,00.
682;16/07/2005;4;27;36;37;47;60;0;;R$0,00;62;R$25.832,17;5647;R$282,55;R$24.996.965,62;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 20/07/2005: R$27.000.000,00.
683;20/07/2005;2;11;12;35;40;43;0;;R$0,00;79;R$19.666,04;5680;R$272,49;R$27.715.795,78;R$0,00;R$0,00;R$0,00;ACUMULOU. Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 23/07/2005: R$31.000.000,00.
684;23/07/2005;17;19;33;37;40;50;0;;R$0,00;81;R$22.483,66;7103;R$255,42;R$40.669.733,33;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 27/07/2005: R$44.000.000,00.
685;27/07/2005;5;12;27;33;43;56;1;SP;R$44.331.219,78;347;R$6.029,62;15404;R$135,32;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 30/07/2005: R$1.000.000,00.
686;30/07/2005;4;5;15;26;33;54;0;;R$0,00;47;R$15.221,72;3901;R$182,71;R$1.251.986,54;R$0,00;R$0,00;R$0,00;ACUMULOU! Estimativa de prêmio (sena) para o  próximo concurso, a ser realizado em 03/08/2005: R$2.000.000,00.
687;03/08/2005;1;7;14;41;48;59;0;;R$0,00;28;R$25.839,62;2887;R$249,66;R$2.518.128,16;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 06/08/2005: R$4.000.000,00.
688;06/08/2005;11;21;30;35;47;52;0;;R$0,00;38;R$23.920,89;2757;R$328,45;R$4.108.867,61;R$0,00;R$0,00;R$0,00;ACUMULOU! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 10/08/2005: R$5.500.000,00.
689;10/08/2005;6;7;31;49;51;60;0;;R$0,00;29;R$30.336,11;2998;R$292,33;R$12.298.361,58;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 13/08/2005: R$14.000.000,00.
690;13/08/2005;8;12;15;41;47;53;0;;R$0,00;90;R$13.225,50;5446;R$217,74;R$14.381.378,18;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 17/08/2005: R$16.000.000,00.
691;17/08/2005;8;16;37;50;55;58;0;;R$0,00;54;R$20.629,58;3896;R$284,85;R$16.330.873,12;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 20/08/2005: R$19.000.000,00.
692;20/08/2005;11;18;33;57;58;60;0;;R$0,00;71;R$18.365,13;4995;R$260,06;R$18.612.740,26;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 24/082005: R$21.000.000,00.
693;24/08/2005;13;14;17;31;41;50;0;;R$0,00;152;R$8.909,82;7170;R$188,18;R$20.982.752,64;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 27/08/2005: R$24.000.000,00.
694;27/08/2005;15;19;29;37;41;53;0;;R$0,00;114;R$13.859,26;7087;R$222,10;R$31.925.755,05;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 31/08/2005: R$34.000.000,00.
695;31/08/2005;6;11;13;21;40;52;0;;R$0,00;76;R$22.217,91;6333;R$265,62;R$34.880.737,54;R$0,00;R$0,00;R$0,00;ACUMULOU! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 03/09/2005: R$39.000.000,00.
696;03/09/2005;9;16;34;37;53;57;2;"MA; MG";R$19.251.302,49;195;R$10.613,53;10814;R$190,66;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 10/09/2005: R$1.500.000,00.
697;10/09/2005;28;31;32;35;51;53;0;;R$0,00;27;R$33.337,57;2895;R$309,74;R$1.575.200,44;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 14/09/2005: R$3.000.000,00.
698;14/09/2005;8;12;22;27;43;55;0;;R$0,00;43;R$16.354,69;3981;R$175,99;R$2.805.890,89;R$0,00;R$0,00;R$0,00;Acumulou!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 17/09/2005: R$4.500.000,00. INFORMAMOS QUE EM RAZÃO DE PROBLEMAS TÉCNICOS, O SORTEIO DO CONCURSO 699 FOI ADIADO PARA 19/09, ÀS 20HS EM PORTO ALEGRE.
699;19/09/2005;17;23;48;50;53;54;0;;R$0,00;54;R$16.259,09;3752;R$233,13;R$12.141.821,41;R$0,00;R$0,00;R$0,00;ACUMULOU. Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 21/09/2005: R$14.000.000,00.
700;21/09/2005;2;3;14;24;31;40;0;;R$0,00;53;R$17.991,31;3584;R$265,04;R$13.810.515,56;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 24/09/2005: R$16.000.000,00.
701;24/09/2005;1;13;23;31;48;60;0;;R$0,00;103;R$11.253,13;5623;R$205,35;R$15.838.891,81;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 28/09/2005: R$18.000.000,00.
702;28/09/2005;1;18;45;56;57;58;0;;R$0,00;47;R$22.868,49;3663;R$292,31;R$17.719.825,24;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 01/10/2005: R$20.000.000,00.
703;01/10/2005;2;11;24;27;30;45;0;;R$0,00;123;R$10.767,16;7343;R$179,68;R$20.037.455,42;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 05/10/2005: R$22.000.000,00.
704;05/10/2005;2;4;18;27;34;50;0;;R$0,00;56;R$22.659,95;5784;R$218,56;R$29.484.065,62;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 08/10/2005: R$32.000.000,00.
705;08/10/2005;3;11;13;15;26;43;0;;R$0,00;144;R$11.780,58;11514;R$146,78;R$32.452.771,10;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 15/10/2005: R$36.000.000,00.
706;15/10/2005;2;7;10;17;22;60;0;;R$0,00;282;R$7.866,56;15980;R$138,30;R$36.334.914,54;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 19/10/2005: R$40.000.000,00.
707;19/10/2005;1;8;10;36;43;51;2;"MG; RO";R$19.919.975,72;140;R$14.306,28;12461;R$160,12;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 22/10/2005: R$1.500.000,00.
708;22/10/2005;7;9;13;39;45;47;0;;R$0,00;102;R$6.567,35;5998;R$111,26;R$1.172.271,79;R$0,00;R$0,00;R$0,00;Acumulou!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 26/10/2005: R$2.000.000,00.
709;26/10/2005;4;6;9;22;29;44;0;;R$0,00;106;R$5.881,47;5202;R$119,39;R$11.276.978,00;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 29/10/2005: R$13.000.000,00.
710;29/10/2005;5;25;34;39;46;49;0;;R$0,00;48;R$21.483,28;4608;R$222,94;R$13.081.573,14;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 05/11/2005: R$15.000.000,00.
711;05/11/2005;5;10;33;40;41;59;0;;R$0,00;79;R$18.118,11;5840;R$244,16;R$15.586.402,01;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 09/11/2005: R$17.000.000,00.
712;09/11/2005;7;8;35;43;53;58;0;;R$0,00;97;R$12.122,15;5637;R$207,81;R$17.644.136,19;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 12/11/2005: R$20.000.000,00.
713;12/11/2005;1;12;16;26;46;54;0;;R$0,00;67;R$20.438,81;5838;R$233,68;R$20.040.586,54;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 16/11/2005: R$22.000.000,00.
714;16/11/2005;7;8;17;35;39;53;0;;R$0,00;113;R$9.766,45;10955;R$100,36;R$29.611.134,96;R$0,00;R$0,00;R$0,00;ACUMULOU! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 19/11/2005: R$32.000.000,00
715;19/11/2005;4;12;24;33;36;54;3;"GO; MA; SP";R$10.825.809,33;237;R$6.910,89;13134;R$124,24;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 23/11/2005: R$1.000.000,00.
716;23/11/2005;2;7;16;29;32;50;1;RJ;R$945.382,75;37;R$14.600,51;2512;R$214,25;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 26/11/2005: R$1.000.000,00.
717;26/11/2005;6;17;23;28;35;41;0;;R$0,00;68;R$8.956,76;3816;R$159,00;R$1.065.855,06;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 30/11/2005: R$2.000.000,00.
718;30/11/2005;7;21;33;35;39;58;0;;R$0,00;41;R$13.759,23;2893;R$194,26;R$2.053.079,87;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 03/12/2005: R$3.000.000,00.
719;03/12/2005;3;32;37;39;47;53;0;;R$0,00;63;R$12.737,00;3553;R$225,00;R$8.649.484,79;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 07/12/2005: R$10.000.000,00.
720;07/12/2005;12;31;44;51;54;56;0;;R$0,00;20;R$45.658,99;2606;R$349,09;R$10.247.549,36;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso a ser realizado em 10/12/2005: R$12.000.000,00.
721;10/12/2005;3;14;23;25;36;55;0;;R$0,00;99;R$11.025,33;6723;R$161,75;R$12.157.688,32;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 14/12/2005: R$14.000.000,00.
722;14/12/2005;9;18;36;44;57;60;0;;R$0,00;85;R$12.704,05;5334;R$201,68;R$14.047.415,26;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 17/12/2005: R$16.000.000,00.
723;17/12/2005;1;6;16;36;50;52;0;;R$0,00;49;R$25.242,04;4000;R$308,05;R$16.211.920,28;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 21/12/2005: R$18.000.000,00.
724;21/12/2005;17;27;34;48;51;55;0;;R$0,00;102;R$12.537,87;6190;R$205,82;R$25.450.246,43;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 31/12/2005, às 22 horas: R$30.000.000,00.
725;31/12/2005;3;9;35;37;41;49;2;"MG; RJ";R$15.815.987,63;343;R$10.298,59;20451;R$172,08;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (SENA) para o próximo concurso, a ser realizado em 04/01/2006: R$1.000.000,00.
726;04/01/2006;1;5;7;37;40;47;0;;R$0,00;35;R$15.459,49;2838;R$189,94;R$946.893,69;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 07/01/2006: R$2.000.000,00.
727;07/01/2006;4;12;14;30;42;59;0;;R$0,00;29;R$25.008,46;2688;R$268,79;R$2.216.072,86;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 11/01/2006: R$3.000.000,00.
728;11/01/2006;8;13;24;32;42;44;0;;R$0,00;81;R$8.575,31;5381;R$128,59;R$3.431.622,25;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 14/01/2006: R$5.000.000,00.
729;14/01/2006;5;18;33;43;56;57;1;MG;R$4.969.519,90;51;R$17.231,34;5041;R$173,67;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 18/01/2006: R$9.000.000,00.
730;18/01/2006;2;15;16;45;50;54;0;;R$0,00;34;R$23.412,97;2824;R$280,82;R$9.358.249,67;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 21/01/2006: R$11.000.000,00.
731;21/01/2006;6;15;16;23;28;35;0;;R$0,00;88;R$11.554,63;6659;R$152,12;R$11.137.662,34;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 25/01/2006: R$13.000.000,00.
732;25/01/2006;6;17;19;49;50;53;0;;R$0,00;65;R$14.610,54;4196;R$225,48;R$12.799.611,64;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 28/01/2006: R$14.000.000,00.
733;28/01/2006;2;12;26;31;43;46;0;;R$0,00;67;R$16.737,98;5110;R$218,63;R$14.762.139,60;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 01/02/2006: R$17.000.000,00.
734;01/02/2006;27;29;43;44;45;54;1;MG;R$16.726.569,98;58;R$19.354,00;3984;R$280,69;R$0,00;R$0,00;R$0,00;R$0,00;Estimativa de prêmio (sena) para o próximo concurso a ser realizado em 04/02/2006: R$8.000.000,00.
735;04/02/2006;9;15;38;40;42;52;0;;R$0,00;33;R$27.163,91;3043;R$293,47;R$7.826.853,28;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 08/02/2006: R$9.000.000,00.
736;08/02/2006;1;21;38;41;49;56;0;;R$0,00;19;R$47.835,60;2190;R$413,44;R$9.417.386,79;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 11/02/2006: R$11.000.000,00.
737;11/02/2006;11;12;24;32;33;38;0;;R$0,00;65;R$18.730,63;6267;R$193,54;R$11.547.995,59;R$0,00;R$0,00;R$0,00;ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 15/02/2006: R$13.000.000,00.
